county,state,pop_2010,pop_2018,pct_chg
Buffalo,South Dakota,1934,2036,5.27
San Luis Obispo,California,269805,284010,5.26
Santa Barbara,California,424235,446527,5.25
Calcasieu Parish,Louisiana,193027,203112,5.22
Catoosa,Georgia,64081,67420,5.21
Clinton,Michigan,75406,79332,5.21
Blue Earth,Minnesota,64085,67427,5.21
Cass,Missouri,99757,104954,5.21
Allegan,Michigan,111528,117327,5.2
Gonzales,Texas,19798,20826,5.19
Rowan,Kentucky,23374,24583,5.17
Golden Valley,North Dakota,1682,1769,5.17
Tulare,California,442994,465861,5.16
Adams,Washington,18789,19759,5.16
Haywood,North Carolina,58935,61971,5.15
Butte,California,219945,231256,5.14
Camp,Texas,12397,13033,5.13
Madison,Georgia,28205,29650,5.12
Kingfisher,Oklahoma,15045,15816,5.12
Lehigh,Pennsylvania,350164,368100,5.12
Queen Anne's,Maryland,47809,50251,5.11
Karnes,Texas,14889,15650,5.11
Beltrami,Minnesota,44572,46847,5.1
Monroe,Georgia,26186,27520,5.09
Nelson,Kentucky,43631,45851,5.09
Madison,Arkansas,15684,16481,5.08
Lake,Montana,28790,30250,5.07
Pueblo,Colorado,159466,167529,5.06
Sioux,North Dakota,4148,4358,5.06
Goliad,Texas,7219,7584,5.06
Pend Oreille,Washington,12949,13602,5.04
Prince George's,Maryland,865747,909308,5.03
Clay,North Carolina,10607,11139,5.02
Hand,South Dakota,3434,3262,-5.01
Lincoln,Arkansas,14090,13383,-5.02
