"mu","phi","sigma"
0.01954334,0.535888716,0.005055144
0.02270005,0.619214766,0.006851236
0.004747227,0.805741677,0.005841096
0.008236501,0.820993046,0.005327251
0.01796652,0.550026226,0.009040961
0.01888831,0.57714523,0.007543307
0.01108262,0.940473646,0.007160483
0.01703627,0.523131392,0.005283954
0.01811872,0.65544401,0.005218029
0.02104536,0.99305571,0.007954114
0.006166312,0.90777024,0.00848232
0.000213719,0.897081884,0.005745103
0.008717484,0.983307379,0.006885558
0.01429452,0.299145288,0.007430398
0.01456301,0.982153264,0.008627196
0.01610191,0.734246413,0.006501461
0.01505091,0.436625157,0.005618929
0.0007658277,0.995992993,0.005977207
0.01094249,0.8142899,0.006079065
0.02007382,0.287236271,0.006371108
0.01425573,0.948265569,0.007308093
0.01775551,0.316616687,0.005981559
0.02056828,0.957752459,0.008231479
0.01417871,0.913443054,0.006791937
0.01586648,0.856190589,0.007239269
0.01952025,0.467747785,0.008174753
0.0177656,0.240280273,0.005881039
0.01374118,0.549257199,0.005389842
0.01567545,0.333704624,0.00569002
0.01529624,0.398136994,0.004912899
0.01068367,0.581323723,0.007976975
0.009950615,0.946064826,0.006146286
0.01349441,0.468321996,0.006231217
0.0180701,0.054379303,0.008996147
0.005578938,0.697869165,0.006627912
0.005435325,0.988823198,0.006359105
0.01059403,0.423583625,0.008281057
0.01487067,0.466794349,0.006140361
0.0137243,0.898652026,0.007261352
0.001377675,0.879971118,0.006672602
0.0142459,0.484183422,0.00560544
0.01878509,0.329522668,0.010882837
0.0002635732,0.864828835,0.00617219
0.007108116,0.984588543,0.007823883
0.01891021,0.617349349,0.006574417
0.0167034,0.062807554,0.008141252
0.01717038,0.133259274,0.008283121
0.01385705,0.179460073,0.005852843
0.01349524,0.716316146,0.01006672
0.02125882,0.588106857,0.009544432
0.02037992,0.566167979,0.004538644
0.01423817,0.390731799,0.00698927
0.01532005,0.162476511,0.007731865
0.00452352,0.913965846,0.006753064
0.01672381,0.319694237,0.008687288
0.0129915,0.651663968,0.007126027
0.002269129,0.687116545,0.007349537
0.01816239,0.470183571,0.006440275
0.01651281,0.929550191,0.00801781
0.005445516,0.945957829,0.006084323
0.0216851,0.574491131,0.006600657
0.01290159,0.29485926,0.006558304
0.01793803,0.099358111,0.006675308
0.01698066,0.671633324,0.005525549
0.006009663,0.757734804,0.009337209
0.01425382,0.725703171,0.005587691
0.008511382,0.888673297,0.006324505
